"Week","Year","precip.nomiss","ETo_mm.combined","Date","ID","PP_ET","spei"
15,1986,2.06,13.2271184527593,1986-04-09,3269,-11.1671184527593,-0.900997612815736
16,1986,8.13,6.68119620737773,1986-04-16,3318,1.44880379262227,0.0905280174396123
17,1986,11.14,10.5820906725576,1986-04-23,3367,0.557909327442365,-0.138661050759189
18,1986,0,15.4483123361436,1986-04-30,3416,-15.4483123361436,-1.44457707171836
19,1986,10.13,9.57705182997162,1986-05-07,3465,0.55294817002838,-0.0814394743986499
20,1986,5.36,12.5689648798485,1986-05-14,3514,-7.20896487984848,-0.679016390082064
21,1986,56.04,15.0195069783058,1986-05-21,3563,41.0204930216942,2.21807319577431
22,1986,4.83,16.9954442283843,1986-05-28,3612,-12.1654442283843,-0.996309550984416
23,1986,9.23,16.5287299828725,1986-06-04,3661,-7.29872998287249,-0.667673038687594
24,1986,2.4,15.3218740502721,1986-06-11,3710,-12.9218740502721,-0.957060147262242
25,1986,1.1,18.3724600124942,1986-06-18,3759,-17.2724600124942,-1.470470809596
26,1986,0.88,19.3565594643098,1986-06-25,3808,-18.4765594643098,-1.40339937926327
27,1986,3.48,20.1806149784844,1986-07-02,3857,-16.7006149784844,-1.29937396047056
28,1986,22.19,19.1494659196734,1986-07-09,3906,3.04053408032663,0.201628481943401
29,1986,14.55,25.3734675015272,1986-07-16,3955,-10.8234675015272,-1.04699451096505
30,1986,27.4,19.5665721586229,1986-07-23,4004,7.83342784137709,0.420199632502848
31,1986,32.65,19.1451678991951,1986-07-30,4053,13.5048321008049,0.825084874434944
32,1986,39.26,16.1259683957881,1986-08-06,4102,23.1340316042119,1.56365149248376
33,1986,1.39,14.5528589469295,1986-08-13,4151,-13.1628589469295,-1.00447451150694
34,1986,15.35,14.1375296729497,1986-08-20,4200,1.21247032705028,0.105132949708908
35,1986,21.59,12.1447644446862,1986-08-27,4249,9.44523555531378,0.657440816415427
36,1986,11.17,15.1148901333294,1986-09-03,4298,-3.9448901333294,-0.222214889421567
37,1986,48,11.3671059814087,1986-09-10,4347,36.6328940185913,2.0243011180552
38,1986,21.8,8.64363778162747,1986-09-17,4396,13.1563622183725,0.888022398824538
39,1986,6.7,8.05904476108949,1986-09-24,4445,-1.35904476108949,-0.167112108391351
40,1986,12.39,9.71598700687185,1986-10-01,4494,2.67401299312815,0.176339816448754
41,1986,6.18,9.43776535415203,1986-10-08,4543,-3.25776535415203,-0.446004638439179
42,1986,9.4,7.63371584627056,1986-10-15,4592,1.76628415372944,-0.0110816667625245
43,1986,21.01,1.62238444838546,1986-10-22,4641,19.3876155516145,1.16201806490449
44,1986,7.68,2.08152114246836,1986-10-29,4690,5.59847885753164,0.381705246392885
45,1986,37.07,0.974080423728354,1986-11-05,4739,36.0959195762716,2.04981345297326
46,1986,14.45,1.43054472000095,1986-11-12,4788,13.0194552799991,0.876631626237057
47,1986,29.68,0.254619862226839,1986-11-19,4837,29.4253801377732,1.82017059906595
48,1986,5.89,4.28871301106387,1986-11-26,4886,1.60128698893613,0.201742043825226
49,1986,14.72,1.85323576089104,1986-12-03,4935,12.866764239109,0.790767918226191
50,1986,4.52,1.56589608587137,1986-12-10,4984,2.95410391412863,0.219873020822023
51,1986,3.98,4.0953266940448,1986-12-17,5033,-0.115326694044801,-0.0747105992770086
52,1986,6.12,1.7495114582866,1986-12-24,5082,4.3704885417134,0.291868878755522
53,1986,2.06,0.0874582370477317,1986-12-31,730,1.97254176295227,0
1,1987,0.2,4.53119024450713,1987-01-01,5138,-4.33119024450713,0
2,1987,0.7,4.80119873570056,1987-01-08,5187,-4.10119873570056,-0.448218014443458
3,1987,3.5,2.41779762769487,1987-01-15,5236,1.08220237230513,0.0137264075116618
4,1987,6.5,4.90699823492134,1987-01-22,5285,1.59300176507866,0.19122003905288
5,1987,2.8,2.65642792299025,1987-01-29,5334,0.143572077009752,0.0243302936787251
6,1987,9.3,4.18849168603741,1987-02-05,5383,5.11150831396259,0.334613386180666
7,1987,21.9,3.67918771502518,1987-02-12,5432,18.2208122849748,1.21386349265244
8,1987,5.5,1.86692839221249,1987-02-19,5481,3.63307160778751,0.127911061719991
9,1987,0.4,5.06149582324279,1987-02-26,5530,-4.66149582324279,-0.35000045017072
10,1987,1.1,5.37377093897308,1987-03-05,5579,-4.27377093897308,-0.385653560025143
11,1987,3.8,3.00694095914861,1987-03-12,5628,0.793059040851388,0.0438157546932315
12,1987,9.4,1.81351809270565,1987-03-19,5677,7.58648190729435,0.406111786229272
13,1987,17.8,4.11210562432459,1987-03-26,5726,13.6878943756754,0.781316581624991
14,1987,0.5,13.5819435613214,1987-04-02,5775,-13.0819435613214,-1.16315404766879
15,1987,4,7.50288392513446,1987-04-09,5824,-3.50288392513446,-0.370483134051414
16,1987,1,12.6224656115558,1987-04-16,5873,-11.6224656115558,-0.878867194797715
17,1987,1.2,11.7524893143267,1987-04-23,5922,-10.5524893143267,-0.856515674394902
18,1987,13.2,11.3456037149728,1987-04-30,5971,1.85439628502715,0.078308125925165
19,1987,2.3,20.2042201229056,1987-05-07,6020,-17.9042201229056,-1.36838116288478
20,1987,17.4,8.42837949599775,1987-05-14,6069,8.97162050400225,0.523169116822158
21,1987,4.6,23.8185694850496,1987-05-21,6118,-19.2185694850496,-1.45766050954263
22,1987,2.4,22.269664128477,1987-05-28,6167,-19.869664128477,-1.51837623952962
23,1987,33.5,18.1638572598721,1987-06-04,6216,15.3361427401279,0.941375992491625
24,1987,20,17.7441521533212,1987-06-11,6265,2.25584784667877,-0.00348740390845501
25,1987,9.6,25.1619846246394,1987-06-18,6314,-15.5619846246394,-1.45446102178983
26,1987,16.6,32.1798801698384,1987-06-25,6363,-15.5798801698384,-1.35703632123329
27,1987,7.7,25.7743503201898,1987-07-02,6412,-18.0743503201898,-1.5193980109299
28,1987,1.8,24.7212124451823,1987-07-09,6461,-22.9212124451823,-1.76889542985773
29,1987,0,31.9988204264135,1987-07-16,6510,-31.9988204264135,-2.77122665154858
30,1987,76.3,22.2431670276394,1987-07-23,6559,54.0568329723606,2.73761779185617
31,1987,69.1,19.5578851629421,1987-07-30,6608,49.5421148370579,2.32127970935718
32,1987,13.8,19.153753936253,1987-08-06,6657,-5.35375393625303,-0.576656420499046
33,1987,9.6,18.5510653235192,1987-08-13,6706,-8.95106532351919,-0.681941176128436
34,1987,7.1,17.9284460459305,1987-08-20,6755,-10.8284460459305,-0.876041050772155
35,1987,10.1,19.352251227901,1987-08-27,6804,-9.25225122790103,-0.724798246744008
36,1987,33.2,17.7270601113812,1987-09-03,6853,15.4729398886188,0.949629056893076
37,1987,12.1,12.3529915559285,1987-09-10,6902,-0.252991555928519,-0.166514607661036
38,1987,18.8,12.3695911081371,1987-09-17,6951,6.43040889186291,0.356227574389993
39,1987,46.9,9.60490370664553,1987-09-24,7000,37.2950962933545,2.2421154323563
40,1987,1.3,10.2812943810568,1987-10-01,7049,-8.98129438105676,-0.661734059028786
41,1987,11.2,4.26018282521136,1987-10-08,7098,6.93981717478863,0.507600166366482
42,1987,22.8,1.30560266418746,1987-10-15,7147,21.4943973358125,1.41936786307348
43,1987,5.5,0.925641247555173,1987-10-22,7196,4.57435875244483,0.412682361110677
44,1987,6.4,2.73368972273938,1987-10-29,7245,3.66631027726062,0.130454889786147
45,1987,2.6,5.32511389465351,1987-11-05,7294,-2.7251138946535,-0.201529387200076
46,1987,32.5,0,1987-11-12,7343,32.5,1.79684382141064
47,1987,41.5,0,1987-11-19,7392,41.5,1.95109934094278
48,1987,7.4,0.104226624894928,1987-11-26,7441,7.29577337510507,0.384524939894705
