"Date","S0.15","Dz","PARz","Week","Month","Year","Ta_1_1_1","RH_1_1_1","VPD_kPa","S0.15.nomiss","Ta_1_1_1.x","RH_1_1_1.x","VPD_kPa.x","S0.15.nomiss.x","P_1_1_1","spei","All_Q.nomiss","P_1_1_1.long.term","P_1_1_1.no.mis","ID","S0.15_loess","PARz_loess","PARz.nomiss","Dz_loess","Dz.nomiss"
2016-12-01 01:00:00,0.317005208333333,0.0122625634393112,6.24361916666667,48,12,2016,-2.9212621875,80.336116875,0.0976320117531994,0.317005208333333,-2.9212621875,80.336116875,0.0976320117531994,0.316506076388889,0.76,0.769316491250552,NA,0.8,0.76,336,0.316758047557034,8.43380172588997,6.24361916666667,0.0213674310996319,0.0122625634393112
2016-12-02 01:00:00,0.303966049382716,0.0171453020767531,12.0746789583333,49,12,2016,-6.16983595833333,77.4619902083333,0.0862322972791442,0.303966049382716,-6.16983595833333,77.4619902083333,0.0862322972791442,0.303953993055556,0.1,-0.116581286434414,NA,0,0.1,337,0.302914802956417,11.2149899784773,12.0746789583333,0.0122486896719549,0.0171453020767531
2016-12-03 01:00:00,0.287465277777778,0.00607879226014208,11.400015625,49,12,2016,-12.4618264583333,79.959900625,0.0481657222820618,0.287465277777778,-12.4618264583333,79.959900625,0.0481657222820618,0.287432002314815,0.16,-0.116581286434414,NA,0,0.16,338,0.288373145291833,9.06574697352656,11.400015625,0.00566853818534435,0.00607879226014208
2016-12-04 01:00:00,0.281412037037037,0.00134228434908735,1.32054645833333,49,12,2016,-5.186310625,90.3724947916667,0.0333609459696276,0.281412037037037,-5.186310625,90.3724947916667,0.0333609459696276,0.280674189814815,3.75,-0.116581286434414,NA,3.5,3.75,339,0.284019787627737,5.30822887868111,1.32054645833333,0.0102815848120097,0.00134228434908735
2016-12-05 01:00:00,0.287977430555556,0.0305193035188922,9.11751645833333,49,12,2016,-1.09256014583333,74.27433625,0.1499616007526,0.287977430555556,-1.09256014583333,74.27433625,0.1499616007526,0.285959201388889,0,-0.116581286434414,NA,0,0,340,0.283270096465836,7.33538803345724,9.11751645833333,0.0170728599319485,0.0305193035188922
2016-12-06 01:00:00,0.275616319444444,0.00561498285020745,10.51445375,49,12,2016,-8.46419385416667,87.43636125,0.040096308924575,0.275616319444444,-8.46419385416667,87.43636125,0.040096308924575,0.276280381944444,0.18,-0.116581286434414,NA,0,0.18,341,0.279073974274062,9.37201620795549,10.51445375,0.0160123706884314,0.00561498285020745
2016-12-07 01:00:00,0.273645833333333,0.0124867983017913,4.27645875,49,12,2016,0.668457020833333,86.74511625,0.0850277210727063,0.273645833333333,0.668457020833333,86.74511625,0.0850277210727063,0.272874710648148,0,-0.116581286434414,NA,0.2,0,342,0.271917901104241,5.6468737486974,4.27645875,0.00585675427139693,0.0124867983017913
2016-12-08 01:00:00,0.266678240740741,0.00256186706878502,3.939485,49,12,2016,-0.766106833333333,95.90955,0.02356796240924,0.266678240740741,-0.766106833333333,95.90955,0.02356796240924,0.266807002314815,0,-0.116581286434414,NA,0,0,343,0.267913597029381,3.63622139692419,3.939485,0.00793970323049202,0.00256186706878502
2016-12-09 01:00:00,0.261666666666667,0.0129887598010025,5.321056875,50,12,2016,-3.99461675,80.1587245833333,0.0871653277755184,0.261666666666667,-3.99461675,80.1587245833333,0.0871653277755184,0.260973668981481,0,-0.283734259371533,NA,0,0,344,0.260474503088843,5.62740752064772,5.321056875,0.00982029498625124,0.0129887598010025
2016-12-10 01:00:00,0.249592013888889,0.0113846940970172,8.15966770833333,50,12,2016,-11.6308624166667,73.50731875,0.0675494655919952,0.249592013888889,-11.6308624166667,73.50731875,0.0675494655919952,0.249563078703704,0,-0.283734259371533,NA,0,0,345,0.249195894209379,7.85281648557523,8.15966770833333,0.0104814366857697,0.0113846940970172
